"Establecimiento";"Pc1_Actitud";"Pc1_Atencion";"Pc1_Atencion_Esperas";"Pc1_Cliente_Habitual";"Pc1_Actitud_Servicio";"Pd1_Asesoramiento_Oferta";"Pd1_Informacion_Completa";"Pd1_Aspectos_Positivos_Negativos";"Pe1_Experiencia_Empleados";"Pe1_Resolver_Consultas";"Pe1_Conocimiento_Gama";"Pe1_Dominio_Resolver_Consultas";"Pe1_Interes_Problemas";"Pe1_Tiempo_Espera_Atencion";"Pe1_Duracion_Fila_Cajas";"Pe1_Rapidez_Resolver_Consultas";"Pe1_N_Empleados_Cajas";"Pe1_Tiempo_Reclamacion";"Pe1_Solucion_Quejas";"Pe1_Sencillez_Tramites";"Pf1_Competitividad_Oferta_Productos";"Pf1_Amplitud_Oferta_Productos";"Pf1_Beneficios_Compra_Habitual";"Pg1_N_Empleados_Adecuado";"Pg1_Cajas_Cerradas";"Pg1_Decoracion_Establecimiento";"Pg1_Iluminacion_Establecimiento";"Pg1_Climatizacion_Establecimiento";"Pg1_Sensacion_Orden_Limpieza";"Pg1_Amplitud_Establecimiento";"Pg1_Marcado_Areas";"Pg1_Facilidad_Identificar_Cadena";"Ph1_Relacion_Calidad_Precio";"Ph1_Satisfaccion_Global";"C1_Edad";"C2_Sexo";"C3_Estado_Civil";"C4_Compra_Media";"C5_Ingr_Mes"
"1023";3;7;6;6;NA;6;6;7;7;5;7;7;7;7;6;6;7;6;NA;NA;NA;6;7;8;7;8;6;7;7;8;9;7;7;6;7;4;2;2;4;4
"1024";3;7;6;6;NA;7;6;7;5;5;7;7;7;7;6;6;7;6;NA;NA;NA;6;7;8;7;8;6;7;7;8;9;7;7;6;7;5;2;2;4;4
"1025";2;6;6;6;5;6;7;7;7;7;8;8;8;8;7;8;8;8;NA;NA;NA;8;8;8;8;8;8;8;8;8;8;8;8;8;8;4;2;2;3;4
"1026";1;7;7;6;2;7;7;6;1;7;7;7;7;8;7;9;8;8;5;7;9;9;9;7;8;7;8;8;8;8;8;8;10;7;7;5;1;4;3;4
"1027";2;7;7;7;7;7;5;6;4;7;7;8;8;8;7;6;7;7;6;8;7;6;8;8;6;7;7;8;8;8;8;6;9;8;8;4;2;2;2;4
"1028";1;6;5;5;4;6;6;7;5;6;7;8;7;7;5;4;7;7;4;6;7;7;9;9;7;6;8;8;7;8;9;9;8;6;6;4;2;2;6;4
"1029";1;6;7;6;5;7;7;8;5;6;7;7;5;8;6;5;7;6;5;6;5;7;8;7;5;5;6;8;8;8;7;7;6;6;7;4;2;2;4;4
"1030";1;6;5;5;2;5;6;6;2;5;6;5;5;7;5;8;6;8;2;4;4;2;7;5;4;4;6;8;8;8;8;8;7;4;5;3;1;2;6;4
"1031";3;8;7;10;2;5;7;7;5;7;6;8;6;5;6;6;5;3;NA;NA;NA;8;8;2;7;2;5;8;8;8;10;6;7;7;8;1;1;1;2;4
"1032";1;8;8;5;6;7;7;7;6;7;7;7;7;7;6;5;7;7;6;5;5;7;8;7;6;8;7;7;7;7;7;6;6;6;6;5;2;2;8;4
"1033";1;6;5;6;3;6;8;7;4;6;6;6;6;5;7;8;6;8;NA;NA;NA;7;8;7;7;7;6;NA;6;7;6;5;6;8;7;4;2;2;4;4
"1034";3;7;8;7;7;7;8;8;6;7;7;7;7;6;5;4;5;4;NA;6;6;6;7;7;5;6;5;7;7;7;5;4;6;6;7;3;1;2;8;4
"1035";2;6;4;2;2;6;3;4;1;5;5;7;5;5;6;6;6;4;5;5;5;7;3;3;3;5;5;5;5;7;7;7;7;5;4;3;1;2;5;4
"1036";1;5;6;4;7;7;3;3;2;3;2;3;1;3;4;3;4;5;4;3;5;5;5;6;5;5;6;5;4;7;7;8;8;8;7;3;2;3;5;4
"1037";1;5;1;3;1;5;7;5;5;3;7;3;2;6;2;2;2;2;1;5;5;6;6;6;5;5;7;7;7;7;7;6;9;5;5;2;2;2;3;4
"1038";1;6;6;6;5;7;7;6;5;7;7;7;6;7;6;5;6;5;7;6;5;7;8;5;5;5;6;7;6;7;6;7;7;6;6;4;1;1;2;4
"1039";2;7;8;4;4;5;7;5;4;5;6;5;8;6;7;6;6;4;2;2;1;6;4;5;4;3;5;5;5;7;7;6;8;7;6;2;2;1;2;4
"1040";1;6;6;5;4;6;6;5;4;5;5;5;5;5;7;7;5;6;NA;NA;NA;9;9;8;6;6;5;5;5;6;7;8;9;7;7;4;2;4;5;4
"1041";2;7;8;7;6;6;7;8;7;7;6;6;6;5;7;6;8;7;5;5;5;7;4;4;5;5;5;7;7;6;7;4;5;6;7;3;2;3;3;4
"1042";1;7;4;7;1;8;8;9;2;9;8;10;9;10;4;6;9;10;NA;NA;NA;9;10;7;8;10;5;7;4;4;10;5;9;8;5;5;2;5;8;4
"1043";2;6;6;4;4;6;6;4;6;4;5;6;6;4;3;4;4;4;4;5;5;6;4;5;5;5;3;3;5;4;5;5;6;5;5;4;2;3;2;4
"1044";2;5;3;3;5;5;5;5;5;6;7;6;6;6;6;3;5;3;NA;NA;NA;3;3;5;3;3;3;4;4;4;3;3;5;5;4;4;2;3;5;4
"1045";2;2;2;6;4;3;4;2;1;5;7;7;7;9;7;3;6;2;NA;NA;NA;2;2;7;4;2;2;5;5;3;2;5;7;9;5;5;2;5;1;4
"1046";2;3;2;3;4;4;3;3;4;3;2;3;4;4;6;7;4;5;2;3;2;3;2;7;4;3;3;6;7;2;7;4;8;8;6;3;1;2;3;4
"1047";2;3;2;2;2;3;3;3;3;4;3;3;4;3;4;6;4;5;5;5;5;5;4;3;4;4;3;3;3;1;2;2;3;4;3;3;1;1;2;4
"1048";3;8;6;6;7;7;8;5;7;5;7;7;5;7;7;6;7;7;5;5;5;7;8;7;6;5;6;8;8;7;7;7;5;8;5;2;2;3;4;4
"1049";3;6;6;6;7;7;8;5;7;5;7;7;5;7;7;6;7;7;5;5;5;7;8;7;6;5;6;8;8;7;7;7;5;8;5;4;2;3;4;4
"1050";2;8;8;5;6;8;8;7;7;7;7;7;8;8;8;9;9;9;8;8;8;7;7;7;7;8;8;7;7;7;8;7;8;8;8;4;2;2;3;4
"1051";2;7;6;5;7;7;7;5;7;5;7;6;5;7;6;6;7;7;5;5;5;7;7;7;6;5;6;8;8;8;6;5;5;8;5;2;2;3;4;4
"1052";1;8;8;9;8;8;7;8;7;6;8;7;8;7;7;6;8;8;5;9;6;7;8;8;7;7;8;7;7;7;7;8;8;8;8;5;2;2;4;4
"1053";1;8;9;NA;10;8;7;8;9;NA;8;7;NA;8;8;NA;8;9;NA;NA;NA;8;9;8;9;8;9;9;9;8;10;9;8;8;8;4;2;2;4;4
"1054";1;7;6;6;6;6;7;7;6;7;7;7;7;6;6;5;6;5;5;6;6;8;8;7;6;7;8;8;8;8;8;8;8;7;7;5;1;5;7;4
"1055";1;9;8;6;7;7;8;5;7;7;7;7;5;7;9;8;7;7;5;8;5;7;8;7;6;8;6;8;8;7;8;7;6;8;5;2;2;3;4;4
"1056";1;9;8;6;7;7;8;5;7;7;7;7;5;7;9;8;7;7;5;8;6;7;8;7;6;8;6;8;8;7;8;7;6;8;5;5;2;3;4;4
"1057";1;7;6;7;8;7;7;6;7;7;6;6;7;6;7;7;7;6;4;5;4;6;5;5;5;4;5;4;7;7;6;7;7;6;5;5;2;3;4;4
"1058";1;5;5;4;5;4;4;5;6;5;6;5;6;5;5;6;5;4;5;6;7;6;5;6;7;6;5;4;5;6;5;7;5;6;5;3;2;3;4;4
"1059";3;6;8;4;2;7;6;7;5;6;8;5;8;6;5;4;5;8;NA;NA;NA;9;7;7;7;6;6;7;7;8;5;7;7;5;10;4;1;1;3;4
"1060";1;8;7;7;5;8;6;5;6;7;7;6;7;7;5;6;6;7;7;8;6;6;5;4;8;7;8;8;6;5;8;9;8;9;6;5;2;4;4;4
"1061";1;7;7;6;5;5;5;6;5;6;5;7;5;6;6;5;4;5;6;6;8;4;4;5;5;6;7;6;8;8;7;7;7;8;7;4;2;1;6;4
"1062";2;10;4;3;2;6;1;1;9;4;4;4;1;8;6;8;5;1;7;7;4;9;3;5;8;8;9;7;1;4;6;6;7;7;5;4;2;2;8;4
"1063";1;2;1;1;6;4;5;5;4;1;1;6;3;3;1;6;3;5;5;5;3;6;6;5;3;6;5;5;6;5;6;6;6;6;5;5;2;1;7;4
"1064";1;4;6;5;2;5;6;6;5;7;6;3;3;9;6;6;8;4;6;4;6;9;7;5;1;4;2;6;8;7;6;7;4;7;8;2;2;3;2;4
"1065";1;5;4;4;6;6;8;7;5;6;6;5;5;4;4;6;7;6;5;5;6;7;8;7;5;6;4;4;6;6;8;6;6;6;8;3;2;3;7;4
"1066";3;8;8;8;5;8;9;8;6;7;7;8;8;8;8;7;7;6;6;6;6;4;5;6;5;6;7;7;7;8;9;9;9;5;7;5;2;2;5;4
"1067";3;9;9;9;2;9;4;7;2;9;9;9;9;9;9;9;9;9;9;9;9;3;3;6;9;7;5;8;9;5;5;5;6;7;7;5;2;2;5;4
"1068";3;9;9;9;5;9;8;7;7;7;7;6;7;8;7;6;7;6;5;5;5;4;3;5;8;8;8;8;8;8;8;6;7;4;5;3;2;2;4;4
"1069";3;7;6;7;9;7;4;9;7;9;9;8;5;6;6;6;5;4;6;7;7;6;7;6;9;6;7;6;7;7;7;9;6;8;7;5;2;3;5;4
"1070";3;8;6;6;7;8;8;8;5;8;8;8;8;9;8;6;8;6;8;8;6;9;8;7;5;7;7;8;8;8;8;8;8;8;8;3;1;2;8;4
"1071";3;8;9;7;8;7;8;8;8;9;8;9;8;8;8;9;8;7;8;8;8;9;9;9;8;8;7;8;8;9;8;8;8;9;9;4;1;2;6;4
"1072";1;8;7;8;7;8;8;8;8;8;8;8;9;8;7;7;9;6;8;8;7;7;8;6;7;8;8;8;8;9;10;7;10;8;8;4;1;2;3;4
"1073";1;8;7;8;7;8;8;8;8;8;8;8;9;8;7;7;9;6;8;8;7;7;8;6;7;8;8;8;8;9;10;7;10;8;8;4;1;2;3;4
"1074";1;9;9;9;9;8;9;9;5;NA;8;NA;8;8;5;7;5;7;9;9;9;9;10;8;4;4;9;9;8;9;9;6;9;6;5;5;2;2;3;4
"1075";3;7;8;6;1;6;8;9;6;6;8;8;7;8;8;4;7;8;NA;NA;NA;8;7;7;8;9;8;7;7;8;8;7;6;9;9;5;1;2;3;4
"1076";1;8;8;8;5;7;7;7;4;5;6;7;7;7;8;9;8;8;7;8;8;6;8;8;7;8;8;8;8;8;9;8;8;7;8;3;1;2;6;4
"1077";3;9;9;8;6;9;7;8;7;8;8;8;8;7;7;8;7;8;NA;NA;NA;6;6;7;7;8;7;7;7;8;8;7;8;8;7;5;2;2;4;4
"1078";3;7;7;8;8;8;7;7;8;7;8;7;8;8;7;7;8;8;8;8;8;7;8;7;7;8;7;7;7;8;6;7;7;8;8;4;1;4;3;4
"1079";1;9;7;7;7;8;7;6;8;8;8;8;9;8;8;9;7;9;8;8;8;7;8;8;8;7;9;8;8;8;9;9;8;7;8;4;1;2;7;4
"1080";3;7;7;8;8;8;7;8;5;7;7;8;8;8;7;6;7;6;6;7;6;8;8;7;7;6;7;8;8;8;8;8;7;8;8;3;2;2;4;4
"1081";1;3;4;3;5;5;6;7;7;3;4;5;5;5;5;6;5;5;3;4;3;8;8;8;5;5;6;7;8;8;10;6;7;9;9;5;1;4;5;4
"1082";3;8;8;7;6;8;8;7;8;10;9;9;7;8;8;7;9;10;8;7;9;9;7;1;9;8;8;7;6;7;8;6;9;9;9;3;2;3;5;4
"1083";1;9;8;8;8;8;7;8;7;8;8;7;7;7;7;6;6;6;5;5;5;9;9;8;8;7;7;7;6;7;7;7;6;9;8;3;2;3;8;4
"1084";1;4;5;3;5;7;8;7;8;7;6;7;7;8;6;7;7;8;6;8;4;5;6;7;3;7;6;8;6;7;7;7;5;8;7;4;2;2;6;4
"1085";2;8;8;7;8;7;8;7;7;8;7;8;8;8;8;7;8;6;8;8;8;8;7;7;6;7;6;8;8;7;5;7;9;8;8;3;1;2;3;4
"1086";3;8;8;7;3;8;9;9;9;7;8;8;8;9;8;9;7;7;6;6;6;8;7;7;7;6;4;5;5;7;7;4;3;7;8;4;2;4;8;4
"1087";1;6;5;5;5;5;5;5;5;6;6;7;6;6;6;8;7;7;7;7;6;6;6;8;6;6;6;8;7;7;7;7;8;8;7;4;2;1;3;4
"1088";3;7;7;7;7;7;6;6;3;7;7;7;7;7;5;5;5;5;5;5;5;7;7;7;4;4;7;7;7;7;7;7;7;7;7;4;2;2;6;4
"1089";1;8;7;7;5;7;6;7;8;6;7;8;8;8;8;8;8;8;7;7;7;8;7;6;4;4;5;5;5;7;7;7;7;6;7;2;2;2;4;4
"1090";3;8;8;8;9;9;7;8;6;9;8;6;8;8;8;8;9;10;NA;NA;NA;10;10;10;7;NA;5;6;7;6;7;8;7;8;7;3;2;2;8;4
"1091";1;6;6;5;5;6;4;4;4;5;5;5;6;6;5;5;6;5;6;6;6;7;7;6;7;7;6;7;6;6;7;6;7;7;6;4;1;4;4;4
"1092";1;6;8;8;7;7;7;6;6;8;8;6;7;7;7;6;6;7;6;7;7;6;7;7;7;6;7;7;7;6;7;7;7;8;7;5;2;4;5;4
"1093";3;6;8;8;7;7;7;6;6;8;8;6;7;7;7;6;6;7;6;7;7;6;7;7;7;6;7;7;7;6;7;7;7;8;7;5;2;4;5;4
"1094";1;5;4;4;4;5;4;4;3;4;5;5;5;5;5;4;4;4;4;4;4;5;6;6;4;5;6;6;6;6;6;7;6;6;6;5;2;2;6;4
"1095";1;5;4;4;4;5;4;4;3;4;5;5;5;5;5;4;4;4;4;4;4;5;6;6;4;5;6;6;6;6;6;7;6;6;6;5;2;2;6;4
"1096";3;7;7;6;7;7;8;6;6;7;7;7;6;7;6;6;6;6;NA;NA;NA;7;6;6;6;5;5;5;6;6;6;6;6;7;7;5;2;2;4;4
"1097";1;8;6;6;5;6;7;7;3;7;8;6;7;7;5;5;5;6;6;7;6;5;6;6;5;5;6;6;6;6;7;6;7;6;5;3;2;2;4;4
"1098";2;6;6;6;6;5;4;4;3;6;6;6;5;6;4;3;3;3;3;3;3;5;5;5;3;3;6;6;6;6;7;7;7;5;5;4;2;2;6;4
"1099";1;6;6;6;6;5;4;4;3;6;6;6;5;6;4;3;3;3;3;3;3;5;5;5;3;3;6;6;6;6;7;7;7;5;5;4;2;2;6;4
"1100";2;5;5;5;3;5;5;5;5;5;6;5;5;5;6;6;6;5;5;5;6;4;4;5;5;5;3;3;4;4;3;3;5;5;5;3;1;2;4;4
"1101";1;4;3;3;3;4;5;4;3;5;4;4;4;5;6;6;5;5;5;6;6;6;5;6;4;3;5;6;2;4;6;5;5;5;5;4;1;2;8;4
"1102";2;3;3;3;3;3;3;3;3;3;3;3;3;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;2;2;6;4
"1103";2;3;3;3;3;3;3;3;3;3;3;3;3;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;2;2;6;4
"1104";2;2;3;2;2;1;2;3;3;5;5;6;4;5;2;1;3;2;3;3;2;3;2;4;3;2;4;3;4;3;3;2;1;2;3;5;2;2;5;4
"1105";2;5;4;4;2;4;2;1;1;4;3;3;3;5;5;4;5;4;4;4;4;3;2;2;4;3;1;1;1;1;1;1;1;4;4;3;1;1;2;4
"1106";2;3;3;3;2;3;3;3;3;3;3;3;4;4;3;2;3;2;3;3;3;4;3;3;3;3;2;2;2;1;1;2;3;3;2;4;1;4;2;4
"1107";2;1;1;1;1;1;1;1;1;2;2;4;1;1;7;7;4;1;1;1;1;8;8;8;5;2;2;9;5;1;8;2;2;8;3;1;2;3;2;4
"1108";3;6;6;6;6;6;7;7;8;6;6;7;7;6;7;7;7;7;7;8;8;4;4;8;7;7;7;8;8;8;6;8;8;8;8;3;1;2;6;4
"1109";3;8;6;8;6;8;8;8;6;8;8;8;7;8;9;9;8;8;7;7;7;8;8;7;8;8;8;8;8;8;8;6;8;8;8;2;2;1;8;4
"1110";3;8;9;9;7;8;8;7;6;8;7;6;7;7;8;8;7;8;8;8;8;9;6;9;8;7;7;8;8;8;8;6;8;9;9;4;2;2;7;4
"1111";2;6;6;5;6;5;6;6;7;5;6;6;5;6;5;7;6;6;5;5;5;5;3;3;3;4;4;5;4;6;6;6;6;4;5;4;2;4;7;4
"1112";2;5;6;6;5;4;5;6;5;6;5;6;6;5;6;6;5;5;6;6;6;6;5;5;6;6;8;7;6;7;6;7;5;6;6;2;2;1;3;4
"1113";1;7;7;7;NA;8;8;7;8;8;6;8;7;9;8;10;NA;7;8;9;7;9;9;8;9;9;8;7;8;6;8;6;10;8;9;6;1;2;3;4
"1114";1;8;9;8;9;10;8;7;7;7;8;8;7;8;8;9;8;9;8;7;7;9;8;9;7;8;9;8;9;9;8;9;8;8;7;4;2;2;4;4
"1115";1;8;6;7;4;5;5;8;7;NA;NA;4;6;9;5;4;6;8;6;6;6;8;9;7;9;7;5;9;8;8;8;7;8;8;7;3;1;2;8;4
"1116";3;6;5;7;5;9;6;5;8;4;8;8;7;5;3;5;8;7;5;4;6;7;9;8;8;6;6;9;8;6;4;3;10;5;8;3;2;1;3;4
"1117";2;8;3;4;6;6;7;6;4;5;8;8;8;8;8;2;6;3;NA;NA;NA;4;4;5;5;5;6;8;6;4;3;4;4;7;5;4;1;2;3;4
"1118";2;8;4;6;8;7;9;5;4;4;8;5;6;8;7;3;6;3;NA;NA;NA;4;5;6;6;4;6;6;6;3;4;3;5;5;5;4;2;2;4;4
"1119";2;9;7;4;8;4;9;7;5;5;7;8;7;8;9;5;8;4;NA;NA;NA;5;5;5;4;6;8;8;6;1;3;3;5;8;6;4;2;2;3;4
"1120";2;9;8;7;4;8;7;6;6;8;7;8;7;7;7;8;6;6;NA;NA;NA;7;7;8;6;7;6;7;8;5;5;8;8;8;8;5;2;4;4;4
"1121";2;6;10;5;10;1;9;8;7;9;1;3;6;2;7;7;10;7;6;5;3;5;5;8;7;5;4;8;7;8;4;6;2;9;3;5;2;4;6;4
"1122";2;6;6;5;7;6;6;7;6;3;6;4;4;6;4;6;3;3;4;4;7;4;6;6;3;1;5;6;6;8;4;7;7;7;5;3;2;2;3;4
"1123";2;5;7;6;6;7;5;5;5;3;8;5;8;6;8;6;9;3;4;6;6;4;4;6;3;1;4;6;5;5;3;5;5;5;6;4;1;5;4;4
"1124";2;7;5;5;6;4;7;5;7;5;3;5;5;6;6;5;5;3;5;4;5;3;4;6;2;1;5;5;6;8;2;6;5;5;8;3;2;3;4;4
"1125";2;6;5;5;7;6;5;5;7;4;4;7;4;7;6;5;7;2;4;6;5;6;5;5;3;2;4;8;6;8;4;7;7;7;7;2;2;2;4;4
"1126";1;6;7;7;5;6;5;6;4;5;3;4;5;7;7;7;6;7;7;8;6;7;8;7;7;7;6;8;6;6;8;5;8;7;8;2;1;3;5;4
"1127";3;8;9;7;3;6;7;9;8;8;7;7;9;9;7;7;8;8;9;5;9;9;8;6;7;7;5;5;7;9;9;8;8;9;7;4;1;4;3;4
"1128";3;6;9;9;7;7;8;7;7;7;8;7;7;9;7;8;9;9;8;7;9;9;9;8;10;7;6;5;9;9;9;9;9;10;6;5;2;1;5;4
"1129";3;7;9;8;6;5;8;6;6;9;7;7;9;8;9;6;8;8;9;7;9;7;9;8;8;6;7;7;10;8;9;10;9;9;8;6;1;4;5;4
"1130";3;8;6;8;9;7;6;7;8;9;7;6;6;7;5;7;8;3;8;7;9;7;9;6;8;8;6;7;7;8;6;8;4;6;8;2;2;2;5;4
"1131";3;8;8;7;8;7;5;7;5;9;7;6;6;6;5;6;5;3;6;7;9;9;8;8;7;9;5;8;7;8;5;8;5;7;9;4;1;1;7;4
"1132";3;5;5;8;4;7;9;5;6;9;7;8;6;6;7;6;7;5;6;7;9;8;9;9;6;NA;3;8;5;5;8;8;9;9;7;3;1;2;3;4
"1133";3;7;4;7;3;7;10;5;2;6;8;9;7;7;8;4;7;9;NA;7;6;8;10;7;6;5;3;8;9;5;10;9;10;8;9;3;1;1;3;4
"1134";3;6;9;7;8;8;9;9;7;7;9;7;9;8;5;8;8;8;8;5;7;9;7;7;6;6;9;7;8;8;8;9;6;9;7;5;2;2;5;4
"1135";2;6;4;9;10;7;9;5;4;4;5;4;7;8;4;7;5;9;4;6;8;8;7;4;5;5;8;10;9;NA;5;5;6;8;5;3;2;2;7;4
"1136";3;5;6;6;4;6;7;5;5;5;6;6;4;5;5;4;5;6;NA;NA;NA;6;8;5;5;6;6;5;7;7;5;6;6;7;6;3;1;4;7;4
"1137";1;8;8;3;1;8;8;6;3;7;8;8;8;9;4;8;9;9;8;4;7;10;10;9;9;10;8;8;8;9;10;8;10;9;9;5;1;2;6;4
"1138";3;6;7;8;3;7;8;9;3;6;7;8;7;8;9;9;8;8;8;9;10;6;6;3;7;9;8;8;8;9;9;3;9;8;9;2;1;3;2;4
"1139";3;8;7;6;5;7;8;8;6;6;7;7;5;7;8;8;7;9;8;6;5;8;6;7;8;8;7;7;7;9;9;7;9;9;9;2;2;1;8;4
"1140";1;6;6;5;5;6;5;5;1;6;6;6;5;6;7;7;7;7;7;7;8;9;9;8;8;8;8;9;9;9;9;8;10;7;7;2;1;2;7;4
"1141";1;7;8;7;8;8;8;7;9;8;7;8;8;7;8;7;7;8;8;9;9;8;9;8;7;7;8;10;9;9;8;9;9;9;9;5;2;3;5;4
"1142";1;7;7;6;4;7;8;7;5;7;8;7;7;8;6;7;8;7;5;5;5;4;6;4;6;6;8;8;8;9;9;7;6;6;7;3;2;2;5;4
"1143";3;9;7;7;10;10;8;7;6;7;6;7;7;8;6;5;6;5;6;6;6;6;2;4;6;5;8;7;8;9;8;7;10;9;7;1;2;1;4;4
"1144";1;7;6;7;1;8;8;8;4;7;7;8;6;7;3;8;4;9;8;4;6;9;9;7;6;10;7;8;8;8;10;7;10;8;8;3;1;1;4;4
"1145";1;7;6;7;1;8;8;8;4;7;7;8;6;7;3;8;4;9;8;4;6;9;9;7;6;10;7;8;8;8;10;7;10;8;8;3;1;1;4;4
"1146";3;5;7;7;1;8;9;9;2;9;9;9;9;9;10;5;7;7;6;2;7;8;8;10;9;10;8;8;8;8;8;5;3;10;9;3;2;3;3;4
"1147";3;5;7;7;1;8;9;9;2;9;9;9;9;9;10;5;7;7;6;2;7;8;8;10;9;10;8;8;8;8;8;5;3;10;9;3;2;3;3;4
"1148";3;9;9;8;5;9;9;9;8;8;9;9;9;9;8;8;8;8;8;8;8;8;7;7;8;9;7;7;7;8;7;8;9;9;9;3;2;2;8;4
"1149";3;8;8;8;8;8;9;7;6;8;8;7;7;8;6;6;7;6;7;6;7;9;9;9;6;8;7;7;8;8;8;8;8;7;8;4;2;4;8;4
"1150";3;8;6;6;9;9;9;9;9;9;8;9;9;8;8;8;7;8;NA;NA;NA;9;9;8;8;8;8;8;8;8;8;7;9;8;8;5;2;2;7;4
"1151";2;9;7;8;8;8;9;8;8;7;8;8;7;6;7;6;6;5;6;7;6;7;6;8;7;8;9;10;9;8;5;8;9;9;10;3;2;3;6;4
"1152";1;6;7;8;2;7;9;8;7;7;6;7;7;6;4;3;5;7;7;7;7;8;9;7;8;7;8;8;8;8;9;9;9;9;8;2;2;1;8;4
"1153";1;7;6;6;2;6;7;5;4;7;7;7;7;7;7;8;7;8;7;6;7;7;8;7;8;7;7;8;8;8;8;8;8;6;7;2;2;3;6;4
"1154";3;8;6;6;3;6;7;6;5;5;6;6;6;7;6;6;6;7;NA;NA;NA;8;5;7;7;6;7;8;8;8;8;6;9;5;5;4;1;1;3;4
"1155";1;7;7;5;5;3;4;6;5;2;5;6;5;7;8;6;6;6;NA;2;3;4;6;2;4;5;6;9;8;8;8;7;6;5;4;5;1;4;4;4
"1156";3;10;10;10;9;10;8;8;5;10;10;9;9;10;10;10;10;10;NA;NA;NA;7;7;8;6;5;7;7;7;8;8;7;7;7;7;5;2;3;3;4
"1157";1;5;5;6;6;4;6;7;3;4;5;4;7;6;4;4;5;2;4;4;5;7;5;4;8;4;6;8;7;8;8;7;6;4;5;3;2;3;6;4
"1158";3;9;7;7;6;9;8;8;7;9;NA;9;10;9;8;8;9;10;NA;NA;NA;10;8;10;7;NA;5;6;7;7;6;8;8;8;10;5;2;2;8;4
"1159";3;9;7;7;6;9;8;8;7;9;NA;9;10;9;8;8;9;10;NA;NA;NA;10;10;10;7;NA;5;6;8;7;8;6;10;8;10;5;2;2;8;4
"1160";3;5;3;5;5;5;5;6;3;4;6;5;7;8;7;6;6;4;4;NA;NA;6;5;NA;6;NA;7;7;8;7;7;6;9;6;6;3;2;2;5;4
"1161";3;5;3;5;5;5;5;6;3;5;8;6;7;9;6;6;6;4;5;5;5;7;6;7;5;NA;7;7;8;7;7;6;9;6;6;2;2;2;5;4
"1162";3;8;7;7;7;6;7;7;6;7;7;7;6;6;6;7;6;6;7;6;5;7;6;6;8;8;7;7;7;7;7;8;7;4;7;5;2;1;7;4
"1163";3;9;7;6;7;6;9;8;7;8;9;8;9;8;7;8;8;9;8;NA;NA;NA;10;9;10;7;6;5;6;7;8;7;9;8;7;5;2;2;8;4
"1164";3;5;3;5;5;5;5;6;3;6;6;5;7;8;7;6;6;4;4;NA;NA;7;5;NA;8;7;7;6;8;7;8;6;9;6;6;3;2;2;5;4
"1165";3;5;3;5;5;5;6;7;6;6;8;6;7;9;6;6;6;4;5;5;5;8;6;7;7;7;7;9;8;7;8;6;9;6;6;2;2;2;5;4
"1166";3;7;7;7;1;7;1;6;3;6;6;5;6;6;6;6;6;6;5;6;6;5;1;4;6;6;5;7;7;7;6;6;6;5;4;3;2;2;6;4
"1167";3;8;8;8;4;8;7;7;6;8;8;8;7;7;6;6;8;6;6;7;7;7;7;7;6;6;7;6;6;7;7;7;7;7;7;3;1;2;4;4
"1168";1;6;4;5;1;5;6;6;1;6;7;7;7;7;5;5;4;8;2;7;7;8;8;4;6;6;5;5;5;7;8;8;7;8;8;3;1;2;4;4
"1169";1;8;7;7;1;7;7;7;3;7;5;6;5;7;5;6;5;6;4;6;7;8;8;7;6;5;7;7;7;7;8;8;8;7;6;3;2;2;7;4
"1170";3;7;8;7;7;6;7;6;7;7;7;8;7;7;7;7;6;7;NA;NA;NA;7;7;7;8;8;7;7;7;6;7;7;10;7;6;4;2;4;4;4
"1171";3;5;5;6;3;5;9;7;NA;6;NA;6;NA;NA;7;8;NA;8;NA;NA;NA;9;8;8;7;7;5;5;6;6;7;6;7;8;7;3;1;2;4;4
"1172";2;7;7;8;6;8;6;6;5;6;6;8;7;5;6;4;6;4;NA;NA;NA;7;5;5;7;6;6;5;7;6;6;6;7;7;7;5;2;2;3;4
"1173";3;8;7;7;5;5;7;6;4;6;5;6;6;5;5;5;5;8;4;5;4;6;6;6;6;5;5;6;6;6;7;5;7;7;6;3;2;2;6;4
"1174";3;8;7;7;5;5;7;6;4;7;5;6;6;5;5;5;5;8;4;5;4;7;6;6;6;5;5;7;6;6;8;5;7;7;6;3;2;2;6;4
"1175";1;7;5;3;7;3;7;7;5;5;7;7;7;7;6;7;6;4;5;7;4;5;8;7;6;5;6;6;6;6;7;6;5;3;4;4;2;1;3;4
"1176";3;7;5;6;6;6;4;5;5;5;4;8;5;6;5;5;5;5;NA;NA;NA;7;10;7;6;5;8;6;6;6;9;7;8;6;5;3;2;5;1;4
"1177";3;7;8;6;5;6;8;8;6;6;6;6;6;6;6;6;5;6;7;6;6;7;7;7;6;4;6;6;6;6;7;6;7;7;7;5;2;2;7;4
"1178";3;7;5;6;8;6;8;6;5;7;7;7;7;8;5;5;4;6;5;7;5;4;6;5;4;4;4;5;6;6;5;5;6;7;3;4;2;2;4;4
"1179";2;4;3;6;5;4;3;4;3;4;3;4;4;2;5;3;4;5;6;3;1;1;1;1;6;3;5;6;6;6;7;5;9;8;8;3;2;1;NA;4
